Column1,Column2
he's funny and doesn't take himself to seriously. people out here treating rl'ing like a 9-5 grind up the corporate ladder,Thanks for getting back and taking the time to write to us in a positive manner on that note its great to hear he's leaving that positive impact for all raiders in those runs.
stumped is the best rl no kizzy. just a chill guy fr. give him vrl already,"Hey there, thanks for the kind words and glad you enjoyed his runs! "
"Just finished three amazing public fame cults from Stumped's RSA runs, and stingy rl's complain about how their inefficient. Like dood da public grass touchers want to do fame cults too. I'm sure key popper will understand the difference of a vet vs rsa runs efficiency so leave it up to them. This coming from a vet verified btw! Let da pubs fame cult! That is all love yall no hate have beautiful nights",We're glad you had a good experience with stumped's fame cult runs! This info will be passed onto upper staff. Thanks for the feedback.
"I was told we would be running some chill Fungal runs, a relaxing chain. Unfortunately the RL (Mobbstrf) ended up being pretty toxic and elitist. This got to the point he was unnecessarily threatening people with kicks because of reqs, even though it was NOT an exalted run. When one raider died he yelled out ""rest in piss"" 10 times and was laughing. After the boss was done Mobbstrf sat in the funglal cavern boss room looking at the person's realmeye. He was actively seeking for an excuse to flag the guy who died by checking his gear and stats in the graveyard (like what?). I was supposed to pop 2 keys for this chain, but I just could not bring myself to do so. It was a very unfun experience and is not why I buy keys. This has never been my experience in pub halls before so I was disappointed to see this kind of behavior in an RL. I won't be joining any of their runs in the future, just for myself...however I hope this feedback can help change this kind of behavior for other's experiences. Thanks for you time.","Alright, thank you for the feedback. I have forwarded this to the HRL's and it will be dealt with accordingly. As I'm sure you're aware we obviously don't tolerate this kind of behaviour from our leading staff. And I don't blame you for not wanting to pop your keys. I hope this doesn't happen again and that you have a much better rest of your day! If in the future there's any other feedback you wish to inform us about regarding any staff member or instance don't hesitate to let us know, we take our raider's opinions very seriously. Ty again :)"
"An ARL named Mobbstrf is just generally disrespectful toward his raiders. Tells us to be kind and shit while powertripping over raiders.  Talking bout he's tired so he's gonna be more a dipshit rl. I generally like to meet new rls that i've never raided with, but like his personality and behavior is just worst. Like I would rather have bino raiding than him","Hey there, I'm sorry that his attitude made for an unenjoyable run.  Forwarding this to an HRL right now, thank you for your feedback!"
"i had a question about runs done also, it's not being logged even though i've been doing it and my stats all say 0","Hey there, they should be logged once the run is completed thanks for reporting this to us and we will look into it further to make sure that this is fixed. "
"I checked my stats and noticed that almost no runs were tracked. The bot said I only had a 7 cults done despite my trickster being 4/5 speed exaltation, and having some void and nest runs spread across my characters. Is there something I can do to fix this/prevent runs from not being tracked in the future?",We had some issues with the bot recently but moving forward everything should be logged correctly. Sorry for any inconvenience this may have caused.
Do you guys add alts anymore?,"Omg hi Soar, it's Sea!! But yes we do!  Message any online security for help :)"
lost access to other discord will use this one,"Hey there, contact any online security for assistance with migrating the IGN to the new discord account."
is there any way you guys keep track based on rotmg user cause the discord account's been deleted,Hi!  We keep track with Discord accounts because people will more often switch their IGN then their Discord accounts.
raid leader walllnator didn't make sure that we had all the runes for a O3 run and wasted 50+ peoples time,"Hello! Thank you for letting us know, we'll be sure to forward this to the HRLs."
"Heya, none of my clears are being logged for some reason. I have done a bunch of voids and many others, but my ;stats stay the same. What can I do?","Hello, we're aware of this issue and we're working on it. You can refer to this for more information: https://discord.com/channels/343704644712923138/433117430588375040/1162134814548299797 Thank you for reaching out!"
"hi i lost my old discord account that had all my points from popping keys on it, is there any way to get it back ?","Hey there, if you have any proof of the key pops on a previous account feel free to send the evidence through and we can add them to your current account."
"my discord account got hacked so i need to verify as ""Nerodono"" again on all servers","Hey there, DM any online security and they will be able to help you with that."
"Nacnudd best rl, hot take",Not a hot take at all. He really is the best! We’ll pass your positive feedback along to him
Nacnudd's o3 and miniboss calls were SO GOOD,We agree. Nacnudd is the 🐐
"I don't crash, i check in discord","You must be in the voice channel if you aren’t, it is considered crashing. In the future be sure to join the voice channel"
Hi,Hi :)
racist,"If you'd like to discuss this further, please DM <@480579426099134476> as they are the one that suspended you."
i got suspended for saying nigga once and its because i got a white bag also im black,"Hi, you were suspended because there are screenshots of you saying it a couple times, and regardless we don't allow that type of language within our server."
Hi can i get verificated status? I really dont feel like doing another 30 voids since i knew i did complete more of them.,Hello! You have the vet raider role :>
how do i change my name in discord after ign change,"hello! If your realmeye name history is public and updated, you can just type `;cn yourNewIGN` in here: https://discord.com/channels/343704644712923138/347885015964712970. If that doesn't work, feel free to drop me or any other security a message and we'll be happy to help :>"
"Ahhh je vois je vois! Merci beaucoup d'avoir vérifié pour moi, je l'apprécie ❤️",pas de quoi <3
hiii o/,"Your messages contained the characters f-a-g in ""of a gamma"" and deleted it"
is the word gamma censored? my message keeps getting deleted in homework help 😦,Omg hi eury!
"Adrizomble is a very very good in leading specially in shatts it was my 1st shatts and i got into patience he lead very well, ty adri",Congrats on that!! Thank you for letting us know and we hope you continue to have great runs with him :>
"modamail, can I apply to verify. Its just because of my account looking like an alt.","Hey there, please contact <@276615333056479232> Discord ID: trevict regarding your verification as they’re the one handling it."
BEHKOFF repeatedly asking if one of the RLs (OwnUEasy) if they intend to get fired by raping their boss.,"Hello, that's really concerning, thank you for letting us know! We'll reach out to the RL."
i wasnt even in the fight,You were underreqs. This was not the first time you were undererqs. See you in 4 days.
Hi may i ask why Itadakimasu out of every location is chosing asian server for key pop?,"Hi, unfortuantely, our RLs can choose whatever location they desire. Not all of our RLs are from NA or EU. If you find that location objectionable, leave the run in the future."
"Got muted by Dyno bot for trying to post links in #music-share. Don't care about the mute, only 1h. Just not sure why posting 2 links gets both deleted, then trying to repost the first one gives a mute. Possibly a bug so thought it was worth pointing out in case Dyno is tweaking","Hey there, I’ll get this forwarded so this can be fixed if it is due to a bug. Thanks for letting us know so we can look into it."
"very clear voice, good calls and good warnings for 03, helped me with my first few 03's and helped me build confidence",That's great to hear! 
nacnudd best rl,"Hey there, glad to hear you enjoyed his runs, would you please elaborate on what makes him ""the best rl""?(Great Calls, Funny Ect.)"
used 40 tickets in 1 minute in 2 runs that was aborted? ❤️,"Hey there, if a run is aborted you are automatically granted your tickets back."
unluckypng had his run still open and i joined through supporter and he called loc before he closed channel so i missed it and used my supporter for nothing,Sorry that happened. You were credited with 60 points to use towards run(s) in the future. 🙂
i spent tickets on the udl and it got popped before i even got there,Your tickets/points have been refunded.
can I get unblacklisted? I don't know why I am blacklisted,DM any online security for help with this issue.
"Dungeon was full bc of crashers so I didnt make the run, I used tickets, could i get refund.","Your tickets should have been refunded now, sorry this happened."
"hey i used tickets for instagram udl run, and didnt get dragged, pls give me my tickets back ❤️",It appears you left the VC.
+ i was rushing pot rooms,It doesn’t matter you still need to meet requirements at all times.
"Strasz is saying cdirk reskin, planewalker, t14, t4, 2/8 is under reqs for non exalted cult run, excuse me?",You were only 1/8. Must be 2/8 att and dex.
will tickets be refunded if no run is started?,"If the run is aborted then tickets are automatically refunded, yes."
somehow im blacklisted,Got your message! Let me get back to you in a moment :>
"Hi, bot is saying there is someone already verified, but im not, can someone help me?","Just responded to you in reception, please shoot me a dm and we'll get it sorted."
could i verify again bc the person who blacklisted me is no longer staff pls 🙂,Hello! Please drop <@1035901429841412107> (tag:carrowotine) a message :>
is there any way to see stats from old bots of previous years? been in here for a very long time and pretty sure i have enough voids for vet...,You will be verified for vets in a moment!
meow,meow
thanks,cum
thank you,"Of course, give me a bit thank you."
BOGSAGGITS void run the run before the recent one,"Ok I was also in that run and can confirm you were not in it, I’ll see what I can do for you, sorry that happened"
Yes i used tickets late and the vc closed for a run so i wasnt able to get in,What run was this?
i need a tickets refund,How come ? Are you able to provide more information
"Hello, I popped a kogbold key in a chain but was not one of the key reacts. Can I get one key pop logged?",hey! yeah rememeber. i'll pop it on for you
hey i joined drakeno's cult with tickets but afk wasn't ended although raid had started. apparently bots fault. would like a refund pls :),"If you would like tickets refunded please reach out to an Officer or HRL they can help you get those refunded, sorry that happened"
WOAH COULD HAVE TOLD ME!!!!!,"It is a requirement to follow all of <#379504881213374475> in our runs and we expect you to have read them before joining. You also had recent warnings for crashing and having joined under reqs. If you'd like to appeal, please contact `Gadzstar#6252` `*Celoso` directly."
"Hello, I changed my name and i want it changed in discord. I tried using the bot but it isnt working. was told to use this.",Hello! Please drop <@1035901429841412107> (tag:carrowotine) a message :>
"cleobelle, impressive leading in void, clearly experienced","We appreciate the FB, we'll send it over to the HRL team. Is there anything specific you'd like to mention about their leading?"
"vale, reasonable and helpful",We appreciate the feedback! Thanks.
My suspension is supposed to be off the 13/10 at 15:17. Today is 15/10 at 18:02 and im still suspended. Please solve this.,"This appears to be the case, we apologize for the inconvenience. You've been unsuspended now."
"October 21, 9:23Pm EST, He also suspended me like 10 mins after the run, which i assume that he was looking over a recording of some sort.",hello there! i shall have a conversation with him now. he certainly took a screenshot. apologies for the delay!
how do i reverify ?,You’ve been verified!
well he didnt miss any calls and before we entered the hallways he already knew where a split will be. maybe also a little bit luck cause i dont know how to mapread but was pretty clean. chat was also very hyped,"I see, thanks for taking the extra time to describe what was good about his run. I'll be sure to provide this extra information to the HRLs. Hope you have a nice day :)!"
I reached out to Ray and asked for proof of my pvp in patience and it seems like he has ignored me.,"Hey sometimes staff can be busy, when did you reach out to him?"
Roarkeys 2 voids today were very clean 🙂,"Hi there, thanks for reaching out! We're happy to hear you had a positive experience with one of our raid leaders and will be sure to pass this feedback onto the HRL team. Is there anything specific you felt was clean about the run that you would like to highlight?"
im using a different discord to verify my rotmg account since i dont use that discord anymore,Hello! Please reach out to <@1035901429841412107> Foxberry :>
"Thanks for the help, how would I do that? Don’t use discord a whole lot","Look where all the members are and look for the blue names with a * next to it, you can message anyone of them that’s online."
"Hi, just came back to the game after a good few years and I think my brother may have used my account and joined the discord so it is saying my account is already linked","Yep, the account you are trying to verify under is already veridied under a different Discord D:"
Get in contact with mod mail,"Hi there, you have reached modmail. What would you like to notify us about?"
do we still log vials?,"Hi, there thanks for reaching out! We no longer log adding vials to users when they are dropped in a cult. You are free to do what you want with them. But, bringing a vial to a void or a fullskip does grant you early location and some tickets which can be redeemed for more early location on future runs within our server. In the case that you pop a vial in one of these voids or fullskips, we log it as a used vial which can be seen when you run `;stats`. Hope this help you out."
"This is a mmail for  nacnudd, muted his mic out of nowhere and did not make any calls for 80% of the o3 fight resulting in 10+ 8/8 deaths (couldn't capoture all) then bro unmuted like it was nothing and at the end half assed said sorry for your loss and closed the channel immediately after - no idea if his other runs are like this but won't be joining these in the future abbysmal shit","Alright, thank you for the feedback. We'll make sure this kind of thing doesn't occur again in the future. Unfortunate that you died this way too ):"
I am trying to get verified under Brokebltch ign I forgot my original discord email,"Hey there, contact <@213849524890894336> `*Celoso` for assistance with this."
Didnt get my rune tracked in Indego's O3 run,Your shield rune from `Indego`'s most recent o3 was logged. It won't appear on your `;stats` but you will have received 20 points for popping it. Thank you!
"moderator: @MrSauron just sent me a warnig about not being in the vc and I was, I even reacted at the message...","It appears you left the VC at <t:1697305402:f> and did not rejoin. You're required to be in VC for the duration of the run. You can always click the 'Reconnect' button on the afk check after the fact if you leave/get moved out accidentally. If you want to appeal, you can dm `woolz` directly."
I was in the VC and the key removed me from the dungeon.,"Hey there, you were removed from the dungeon for being Under reqs if you have any questions reach out to <@198902411425873921> `*RedPanda` as they're the one who suspended you and told key to remove you from the dungeon. "
Hello It appears than I am blacklisted for some reason from the LostHalls server,"Hey there, I've gone ahead and removed the blacklist, feel free to verify as usual."
Had a bunch of good runs with stumped. He has a good balance between calls and conversation making him fun to listen to while still giving all necessary calls.,"That's great to hear! Thank you for letting us know, we'll be sure to forward this to the HRLs."
stumped good,"We're so glad you enjoyed his raid! Could you elaborate on what you liked about it? If not, no worries either :>"
stumped dragged me into his fame cult without me asking what a chad,what a chad
why was i denied?,"Hey there, your realmeye page isn't showing the pages we need it to. Please make sure to put everything on ""Everyone"" except last known location then retry verifying."
hey saw a huge crowd going to right bazaar and decided to join.. didnt mean to crash just wanted to see what was up.. honest mistake..  didnt expect a 2 day suspention just to see what discord was poping,Hey dm KingAzamoth if you’d like to discuss your suspension. Typically I wouldn’t join a big group running into a bazaar as usually that’s a sign of a raid. But feel free to dm him to discuss your suspension.
"Hi, I have a Modmail for OwnUEasy Hosted an apperent no-callouts 03, called to rotate on outer rotates phase in the middle of outer to inner beams. I think if there are going to be no call out runs, either make no call outs, or the callouts that are called should be correct...",I’m sorry you experienced this. Please understand that our o3 section is still fairly new and our RLs are still trying to learn calls. We will pass this on to the HRLs. Thank you
"no worries, and no need to reach out to key,  its all good. it was just upsetting not receiving a response from RL as to why but when he let me know the situation it was fine. and thank you for the prompt response","No problem, enjoy raiding with pub halls."
"my previous mod mail ""key kicked me out of mobbstrf's cult for no reason, i reached out to rl and he ignored me. i was in call, i had just joined, no griefing, etc."" may be ignored, mobbstrf reached out and let me know it was a mistake with key.","Thank you for reaching out. It dose seem to be a mistake with the key, we are sorry that you had this negative experience with Pubhalls. I will reach out to the key to see if any further action should be taken"
"we did mbd then went back. i dont think he was doing it on purpose, he just couldnt map read i guess. was taking pretty obvious wrong splits, i just found it obnoxious that he was having a go at raiders for being inefficient while massively slowing the runs down.","Alright, thanks for the clarification. I'll pass this onto the HRL team."
"i want to modmail Rammeke, i asked him multiple time in dm and in dungeon chat if it was going to be a chain and he wasnt answering since he was responding everyone else","Hi there, unfortunately it can be tough for Raid Leaders to read every message that is sent to them and they may forget to respond. Juggling leading, playing the game, chatting and in some cases map reading is a monumental task. We'll let Rammeke know to try to keep an eye out on messages sent to him, but this isn't something that we can enforce or expect our Raid Leaders to do. Hope you understand and sorry for the inconvenience in the matter."
"rl named Ramekke kicked me for rushing halls, even though it wasnt a trl run, also didnt even say to not rush before the key popped","Hi, thanks for reaching out. Sorry to hear you had a negative experience with one of our raid leaders. Generally speaking, it's good practice to ask whether the raid leader is fine with you rushing a void, as most RLs want to practice their map reading and ensure the group safety by limiting crusade and spooky peeks. Hopefully you can understand our position on the matter and sorry for the inconvenience."
"was in Rammekes cult chain and he didnt specify a key to pop which resulted in a double pop. then he got all shitty and passive agressive with raiders for not clearing efficiently enough while he, no word of a lie took us to mbd in every cult we did... they were not fame cults.","Hi there, thanks for reaching out! We're sorry to hear that you had this negative experience with one of our raid leaders. Can you clarify whether he ended up doing MBC instead of the Cultist Hideout for the cults or did he opt to clear to MBD to make the run slower. Any more information you can provide, helps us improve our raids. We will be sure to pass this onto the HRL team. Hope you have a nice day and more positive runs from now on :)."
ban this fool,"Hello! Thanks for letting us know, we'll look into it."
a raider is harrasing me,"Hello! Thanks for reaching out. As it is a private issue between you and another raider, we would prefer to let you guys sort it out between yourselves. If that is not possible, I would recommend using /ignore. Have a good day :>"
the bot is not recording my void runs am i doing something wrong?,"Hey there, https://discord.com/channels/343704644712923138/433117430588375040/1162134814548299797 we made an announcement earlier that currently our bot isn't logging completes.  Our devs are currently trying to trouble shoot this issue, so please be patient as we try to fix this!"
I want to put in some positive mod mail for RL Roarkey. Did a super clean void with great calls and perfect timing. Will definitely be trying to join their runs in the future. 🙂,Thank you for taking time to send in positive feedback. We are glad to hear that you enjoy raiding with Pub Halls and hope that future runs keep up the quality.  We will be sure to let HRLs know of the good experience.
"Unfortunately I do not remember the exact run but it was about two nights ago, the RL thanked me in VC but its nbd if it didn't get logged, I'll just be sure to check it next time.",No worries! We'll get that sorted. Thanks for reaching out!
"Hi there, are stats not updating on the bot? And if so is there any good way to track my void completions for once I get 100? I also noticed my vial pop isn't there either","Yes, at the moment the bot has an issue with tracking void completions. It is in the process of being fixed, but as of now we have to manually verify those using screenshots of exaltations and/or completions for alive players if you are trying to get veteran verification. As for vial pops, those have to be manually logged by staff each run, which run are you referring to where your vial pop didn't get logged?"
"hey, i used tickets to join run that was aborted before start, heard u can do something about this","Yes, I will be giving all tickets back to people"
Freakans made pew pew noises during 12 shotguns goated rl just for that,Thank's for letting us know & we're so happy you had fun :>
"was mistake, I had vial","Hey there, as a Vial or any other priority react you are still required to be in VC whilst raiding, I also highly suggest reading over <#379504881213374475> ."
I really think there should be a limit to how many people can be in the VC early cus its ridicolously stupid when its 80% full before its even opened to people who havent donated,"Hi there, thanks for reaching out! Unfortunately, Fullskips are one of the few runs where that many early reacts are required. To ensure the safety of a fullskip, you need multiple competent tricksters, knights and mystics. In addition to that keys, vials, armor break and scholar's seal. Sorry if you missed the run and hope you can understand our position on the matter. Other types of runs should be more accessible than fullskips are."
"Bro why are my runs not getting logged. At this pace i will never get veteran raider and i will have you know i was a veteran at ""maximum efficiency","Hello, thanks for reaching out! It’s an issue with the bot and it should be fixed in the next couple of days :> If you would like to show 100 completes via exaltations or alive completes, you can also send them to any security."
https://www.realmeye.com/graveyard-summary-of-player/Swellpearz,"Hello! I'm sorry but I can't verify you with that. If you can show 100 completes through exaltations or alive completes, please feel free to reach out to any security :>"
"That's my bad, idk how I missed that, it won't happen again I'm sorry",All's good :> See you around!!
As of 2 minutes ago this information has not been updated on the lost halls discord,"I would make sure to read the whole message, specifically the one about Regular Raiding (Halls) https://discord.com/channels/343704644712923138/379504881213374475/1009820585813086278 where it states for halls it has to be both stats."
Are your server rules no longer you only need one dps stat maxed? I brought my wizard (t12 t5 t14 bloodstone ring) with attack maxed into that lost halls run.,"Yes, we now have the requirements to be both maxed in attack and dexterity on top of gear. If you want to know more go check <#379504881213374475>"
My realmeye is not privated as far as I can tell. My IGN is KevinBoom https://www.realmeye.com/player/KevinBoom I have tried to get the graveyard to work but it will not update for some reason. I have killed a mystic that is not popping up just to populate it,Hello! A security will reach out to you in a moment :>
"I love stumped so much. Always good calls and good vibes, I always try to get into his runs!",Hey! We're glad to hear it. I'll pass it onto the HRLs so they can tell him to keep up the good work!
"Just wondering if my runs done stats are not logging for some reason, my runs done stats haven't changed in 4 days, but I see my key pops are logging",Hello! It’s an issue with the bot and it should be fixed in the next couple of days :> Thanks for reaching out!
i keep trying to join runs and even though im in the locked channel with them i cant hear. ive tried not being in any room and clicking the join link and it does nothing and ive tried joining the lobby then clicking to join. that puts me in the room but i cant hear anyone,You're probably seeing the issue mentioned here https://discord.com/channels/343704644712923138/378991029186985985/1135723573214969886 and it's not really something we can do anything about. Just make sure you are truly in the VC in the future
"I got a warning for being o/2 during an exalted run, and although I only had aether (1/2), RL said directly I was fine to be there","Hi, RLs cannot change the requirements in <#379779029479194624>, nor can they give people exceptions to the reqs in their runs. Please make sure you are fully meeting requirements in the future to avoid punishment."
"Bot broken, realmeye graveyard API down so I can't do the graveyard verification","Hi there, thanks for reaching out. Make sure your graveyard on RealmEye is unprivated before continuing to verify. Once you've made sure of that, re-react with the checkmark to restart your verification. If you have further troubles, feel free to reach out to any online security or me (MrSauron) :)."
"sorry but 3rd time dragansmum run that he doesnt do any calls, why  they do voice runs then he only is talking with friends and laughing, do vcless then if u dont do calls o let the runners the option to leave the vc :/",He isn't allowed to lead vcless. It's either with or without calls but there has to be a vc. If you want to discuss that it might be best to bring it up with an HRL.
"Heya, I was checking my stats today for completions because i would eventually like to go for veteran raider, and i noticed that no completes for me were countet at all / only my pops of keys and vials got counted. Have i done smth wrong or is there a delay in those things ?","Hey there, this is currently in the works to be fixed by our devs as we are currently aware of the issue, rest assured it should fixed within the next few days. "
"hey, i have question, how to take off my little brother from blacklist? pls help us",hello! I'll drop you a message in a bit :>
u dont own servers go fuck urself,"Hey there, when we organize raids in a specific server all Raiders who participate that run are expected to meet the set requirements. "
"Was it okay for KingAzamoth to say 50x chain wlab and then i brought golden clover and he just stop wlab after 3 dungeons, wasted my golden clover ...","We're really sorry that this happened, we'll be sure to let the HRLs know :>"
How tf did i blast guards in what im guessing is an o3 when i didnt even make it to the fucken run i dced in castle,"If you want to appeal or otherwise discuss the warning, you can DM <@327078279586512907> `@kuvuwolf`."
Server Appeal,"Hi, you have been removed from the blacklist, feel free to attempt verification again."
"That's what I mean, the VC is always locked for me. When a new raid starts, I can see everyone joining the raid VC, but for me its still locked.","Generally, when a run first opens up in RSA than there will be around 13 people who get in on reacts. That is normal and it should be locked for you, but after a while, vi bot will say the channel will open in in 5 seconds. After that you should be able to join. In Vet runs like fame cults you need to react to join. If this still does not help can you please send in a ss of what you see?"
"Hello, I am verified on this serber howeber when a new raid goes live the raid channel is always locked for me. Not sure how to fix this.","Whenever a raid starts the RL needs time to get everything set up like: keys, rushers, and important classes.  After this is finished the VC will open and than you can join the VC. For more information you can also read this in the Help Section https://discord.com/channels/343704644712923138/1139224458960306267/1139224554569474099"
Positive modmail: deathbycon called out a big void shotgun from MBC at the end of the fight which was super helpful since we don't see that attack very often. Really good calls the whole run!,"hey! thanks for the feedback, I'm glad you had a nice time, we will make sure to pass in on to him"
Hi?,Hello! How can the moderation team assist you?
i just have cruicible mod on,"Oh! Thanks for clarifying, we'll remove your warning now :>"
It's a different account,"Oops, I'll drop you a DM in a bit :>"
wut,Don't worry. I'm just glad you got the message ❤️
thats is so beautiful... THANK YOU VERY MUCH,Please tell me you didn't get that last message saying a swear word. The bot is having difficulties and I am struggling to work with him.
but i love frogs 😦,I am sure the frogs will appreciate it if you brought reqs!!
"Hi, is it possible to change my name from Shroogle to Kzall, that was my old account that I don't play anymore.","hello! If your realmeye name history is public, you can just type `;cn yourNewIGN` in here: https://discord.com/channels/343704644712923138/347885015964712970. If that doesn't work, feel free to drop any security a message and we'll be happy to help :>"
"RL's need to stop counting down from 5 insanely fast and then only saying loc twice, then only give another 5 seconds for people to show up, while im desparately trying to ask them to repeat loc one more time because i didnt catch it :/ there's been multiple instances of this and its just frustrating in general","Hello, we're sorry for the inconvenience it has caused you. Are you able to put names on these Raid Leaders? It's difficult for us to do much without knowing which RLs do this."
thank you! when applying for veteran would I just have to send screen shots here?,"If you want to manually apply for veteran, simply message any online Security with screenshot proof of 100+ void completes in exalts or alive completes."
"yes, Im not to sure what it should be but I know it freezed because my current wizard has around 15 crystal caverns completed in the server but my stats only show 1 completed","Thank you for letting us know! It should be fixed soon :> In the meantime, you can use alive completes and exaltations to track your progress, and we can accept that as proof for vet verification!"
"I dont believe I have 100 yet the issue is that nothing is counting towards my server progress. I beleive I have all teh boxes checked off, visible in teh social tab, veiwable to everyone on realm eye, and 8/8. Is there anything else I am missing or is this just a bug with the server?","Hello! As long as you are in the vc and raid, it should work. I'm not sure why it's not counting towards completions for you - I've just pulled up your stats and you have 20 void completes with us at the moment. Did it freeze at this number?"
"Hello mods, I am a raider since 2018 and I have had my account viewable to everyone and I have 8/8 characters however my raids are not counting and I am currently trying to get veteran runner. I dont know how long this has been going on for but I just now noticed it. I know for a fact it is incorrect because on my 8/8 ssnl wizard, I have more runs showing as completed in game than I do in here. Please let me know what I can do to fix this as I think I should have way more dungeons listed as completed here in this server than what is currently being shown.","Hello! If you can prove 100 void completes through exaltations, alive completes etc, please feel free to reach out to any security with a screenshot and we can manually verify you :> And thank you for letting us know about this issue!"
"I wanted to give positive modmail to Exalt leader ""tangere"" great RL, was kinda, patient, didn't get mad and chill. Loved his Woodlab runs even do RL sometimes didn't make T he stayed in order to help people TP to T and back to Boss. Respect.","Hi, thanks for your feedback! ill be sure to pass it along to our HRL team!"
"Yes, Rainfallen, I was following up with the previous message asking about good parts of the run","Ah okay, I see that now. Thank you!"
"Good calls, runs were not stressful, and overall good vibes. Also only one raider death in like, 7 or 8 void runs. Also very efficient, only hit pots like, once or twice out of the whole runs; typically got us straight to mbd","Hi, do you know which Raid Leader you had for these runs? And thank you for taking your time to give us feedback on the raids :) We wish you more lots more runs like these."
i made a new discord because i lost my other account info,"Hello, reach out to any online security and they will be able to assist you."
i can't verify on lh server,"Make sure your RealmEye is Public and follow the instructions in <#471711348095713281>. Once you're ready, re-react with the ✅ and it should go through. If you're having further issues, feel free to DM any online security or me (MrSauron)."
hello,"Hi there, you have reached the security team. What would you like to modmail us about today?"
the racist part was like in a o3 yesterday but him refusing to unmute in other peoples runs is like the majority of the runs he is in,I'll assume you mean mute which is not okay.
"sorry i dont have a clipping software but im sure some of the other staff in vc heard,  i dont recall who exactly though :///",Was thhis his most recent run?
RainFallen goated; promote to RL ASAP. Top tier runs.,"We're so happy that you had a great experience with him! Thank you for letting us know, could you elaborate on which parts of the run you enjoyed? If not, that's fine too, we'll forward your feedback to the HRLs :>"
RainFallen is unmatched. Dedicated to teamwork and promoting a respectful and inclusive environment. He is a great role model and I believe we need more leaders like him in our lives.,"We're so happy that you had a great experience with him! Thank you for letting us know, we'll forward this to the HRLs :>"
for vc-less o3 I pressed the support button but got no loc even after the join button was available the bot said that i already reacted and joined the run and still the bot did not send any loc of the run i messaged the raid leader to get loc pls investigate this issue ty,"Sounds a glitch but we’ll let our devs know so they can look into it, I know the VC-less runs are a work in progress so sorry for that experience!"
"during the first phase it is pretty much every rl that calls out ignore minions, shoot boss only if it's before the 2 split. but  on the most recent run i got stranded alone with 2 big boys and several medium boys, and it was on a 4 split platform so i had to nexus. the rl was Mobbstrf","Alright, thanks for providing extra information. After the 2-split, RLs should definitely ensure that minions are being properly handled so that no platform has several big boys or medium boys. If you have the names of any other RLs who you noticed doing this, that would be great. But, we will be sure to pass along your feedback on Mobbstrf to the HRL team. Apart from that, hope your future raids are good and have a nice day :)."
